timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-20 16:00:00-04:00,3.59,,
2026-05-20 16:00:00-04:00,12.57,12.8,1.84
2026-02-26 16:00:00-05:00,3.68,4.15,12.69
2025-11-20 16:00:00-05:00,3.09,3.34,7.99
2025-08-21 16:00:00-04:00,2.66,2.75,3.4
2025-05-22 16:00:00-04:00,10.91,11.65,6.77
2025-02-25 16:00:00-05:00,2.58,3.32,28.93
2024-11-21 16:00:00-05:00,2.36,2.5,6.02
2024-08-22 16:00:00-04:00,1.85,1.99,7.41
2024-05-23 16:00:00-04:00,9.38,9.88,5.29
2024-02-22 16:00:00-05:00,2.31,2.63,13.95
2023-11-28 16:00:00-05:00,1.98,2.47,24.83
2023-08-23 21:00:00-04:00,1.44,1.65,14.91
2023-05-23 16:00:00-04:00,8.5,8.92,5.0
2023-02-23 16:00:00-05:00,1.44,2.2,52.64
2022-11-29 16:00:00-05:00,1.2,1.66,38.61
2022-08-23 16:00:00-04:00,0.98,1.1,12.4
2022-05-24 16:00:00-04:00,7.57,7.65,0.99
2022-02-24 16:00:00-05:00,1.82,1.55,-14.98
2021-11-18 16:00:00-05:00,0.97,1.53,57.31
2021-08-24 16:00:00-04:00,1.59,1.97,24.03
2021-05-25 16:00:00-04:00,6.22,6.07,-2.39
2021-02-23 16:00:00-05:00,0.76,0.68,-10.15
2020-11-19 16:00:00-05:00,0.43,0.94,121.16
2020-08-25 16:00:00-04:00,1.12,1.81,61.36
