timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,0.48,,
2026-05-06 06:00:00-04:00,0.89,0.91,2.6
2026-02-12 06:00:00-05:00,0.55,0.59,7.98
2025-11-04 06:00:00-05:00,0.78,0.86,10.54
2025-07-31 06:00:00-04:00,0.37,0.39,6.11
2025-05-01 06:00:00-04:00,0.86,0.92,6.9
2025-02-12 06:00:00-05:00,0.59,0.64,7.95
2024-10-30 06:00:00-04:00,0.67,0.71,5.9
2024-08-01 06:00:00-04:00,0.39,0.47,19.4
2024-05-02 06:00:00-04:00,0.7,0.68,-2.29
2024-02-21 06:00:00-05:00,0.58,0.6,3.06
2023-11-02 06:00:00-04:00,0.68,0.67,-1.92
2023-08-02 06:00:00-04:00,0.4,0.41,1.26
2023-05-03 06:00:00-04:00,0.66,0.7,6.03
2023-02-14 06:00:00-05:00,0.43,0.43,-0.34
2022-11-03 06:00:00-04:00,0.7,0.75,6.52
2022-08-03 06:00:00-04:00,0.46,0.44,-3.81
2022-05-09 13:00:00-04:00,0.65,0.64,-2.06
2022-02-25 15:00:00-05:00,0.78,0.9,14.93
2021-11-03 06:00:00-04:00,1.1,1.09,-0.48
2021-08-04 06:00:00-04:00,0.67,0.89,33.59
2021-05-05 06:00:00-04:00,0.07,-0.06,-188.03
2021-02-24 06:00:00-05:00,0.7,0.76,9.29
2020-11-03 06:00:00-05:00,0.87,1.04,19.34
2020-08-04 06:00:00-04:00,0.43,0.55,27.22
