timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-31 08:00:00-04:00,3.77,,
2026-04-29 07:00:00-04:00,2.67,2.65,-0.77
2026-02-04 07:00:00-05:00,2.65,2.71,2.16
2025-10-31 07:00:00-04:00,1.78,1.86,4.23
2025-07-31 07:00:00-04:00,2.91,2.97,2.14
2025-04-25 07:00:00-04:00,2.4,2.46,2.62
2025-01-31 07:00:00-05:00,2.12,2.16,1.92
2024-10-30 07:00:00-04:00,2.92,3.0,2.82
2024-07-25 07:00:00-04:00,2.66,2.65,-0.39
2024-04-26 07:00:00-04:00,2.26,2.31,2.37
2024-02-02 07:00:00-05:00,2.8,2.79,-0.32
2023-10-27 07:00:00-04:00,2.87,2.95,2.8
2023-07-27 07:00:00-04:00,2.81,2.91,3.64
2023-04-27 07:00:00-04:00,2.49,2.46,-1.37
2023-02-09 07:00:00-05:00,3.58,3.6,0.65
2022-10-28 07:00:00-04:00,3.57,3.66,2.65
2022-07-29 07:00:00-04:00,3.31,3.37,1.83
2022-04-29 07:00:00-04:00,3.14,3.16,0.56
2022-02-02 07:00:00-05:00,3.28,3.31,0.84
2021-10-29 07:00:00-04:00,3.22,3.33,3.52
2021-07-30 07:00:00-04:00,3.03,3.11,2.57
2021-04-30 07:00:00-04:00,2.83,2.95,4.26
2021-02-03 07:00:00-05:00,2.85,2.92,2.42
2020-10-30 07:00:00-04:00,2.77,2.83,2.32
2020-07-31 07:00:00-04:00,2.2,2.34,6.36
