timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 16:00:00-04:00,0.69,,
2026-04-30 18:00:00-04:00,0.8,0.82,2.85
2026-02-19 18:00:00-05:00,0.58,0.6,2.67
2025-11-06 18:00:00-05:00,1.19,1.12,-5.8
2025-08-07 18:00:00-04:00,0.64,0.68,6.0
2025-05-08 18:00:00-04:00,0.71,0.83,16.9
2025-02-20 18:00:00-05:00,0.68,0.7,2.77
2024-10-31 18:00:00-04:00,1.1,1.15,4.37
2024-08-01 18:00:00-04:00,0.64,0.57,-10.69
2024-05-02 17:00:00-04:00,0.62,0.62,0.16
2024-02-15 18:00:00-05:00,0.55,0.48,-11.93
2023-11-02 18:00:00-04:00,0.93,1.05,13.08
2023-08-03 18:00:00-04:00,0.58,0.64,9.8
2023-05-04 18:00:00-04:00,0.71,0.65,-7.9
2023-02-23 18:00:00-05:00,0.47,0.46,-1.79
2022-11-07 18:00:00-05:00,1.02,0.93,-8.76
2022-08-04 18:00:00-04:00,0.58,0.63,8.62
2022-04-28 18:00:00-04:00,0.72,0.77,6.94
2022-02-17 18:00:00-05:00,0.36,0.35,-1.98
2021-11-04 18:00:00-04:00,0.97,1.02,5.62
2021-08-05 18:00:00-04:00,0.56,0.57,2.31
2021-05-06 18:00:00-04:00,0.67,0.68,0.85
2021-02-18 18:00:00-05:00,0.23,0.24,3.7
2020-11-02 18:00:00-05:00,0.88,0.94,6.62
2020-08-06 18:00:00-04:00,0.47,0.54,14.09
